rank,score,sku,handle,title,category,subcategory,price_dop,inventory,image_count,description_chars,link,brand,gtin,mpn,identifier_status
15,77.4,VB05DAEB30,silic-n-alta-temperatura-pega-resistente-750-f-85g,Silicón alta temperatura / pega resistente 750°F 85g,Ferretería,Pegamentos y Selladores,110.0,10,1,335,https://vivabien.xyz/producto/silic-n-alta-temperatura-pega-resistente-750-f-85g,,,,needs_business_confirmation
16,77.3,VB0C90316D,set-arom-tico-difusor-con-bandeja-de-madera-y-5-varitas,Set aromático / difusor con bandeja de madera y 5 varitas,Hogar,Aromas para el Hogar,1235.0,10,1,332,https://vivabien.xyz/producto/set-arom-tico-difusor-con-bandeja-de-madera-y-5-varitas,,,,needs_business_confirmation
17,77.3,VBAP071,set-de-3-maceteros-dorados,Set de 3 maceteros dorados,Hogar,Plantas y Flores,3795.0,10,3,132,https://vivabien.xyz/producto/set-de-3-maceteros-dorados,,,,needs_business_confirmation
18,77.2,VBFFCA4A65,mascarilla-hidratante-gl-teos-nalgas-35ml-con-durazno,Mascarilla hidratante glúteos / nalgas 35ml con durazno,Belleza y Salud,Cuidado de la Piel,130.0,10,1,329,https://vivabien.xyz/producto/mascarilla-hidratante-gl-teos-nalgas-35ml-con-durazno,,,,needs_business_confirmation
19,77.2,VBAP109,panel-decorativo-ranurado,Panel decorativo ranurado,Hogar,Adornos Decorativos,495.0,10,3,131,https://vivabien.xyz/producto/panel-decorativo-ranurado,,,,needs_business_confirmation
20,77.1,VBAP302,lampara-de-pie-simple,Lámpara de pie simple,Tecnología,Iluminación,2240.0,10,3,127,https://vivabien.xyz/producto/lampara-de-pie-simple,,,,needs_business_confirmation
21,77.0,VBFAEC9EA7,difusor-de-aromaterapia-humidificador-efecto-llama-2-4mhz,Difusor de aromaterapia / humidificador efecto llama 2.4MHz,Hogar,Aromas para el Hogar,520.0,10,1,326,https://vivabien.xyz/producto/difusor-de-aromaterapia-humidificador-efecto-llama-2-4mhz,,,,needs_business_confirmation
22,76.9,VB8814333A,cuchilla-de-precisi-n-exacto-con-mango-met-lico-y-repuestos,Cuchilla de precisión / Exacto con mango metálico y repuestos,Ferretería,Cuchillas y Corte,120.0,10,1,323,https://vivabien.xyz/producto/cuchilla-de-precisi-n-exacto-con-mango-met-lico-y-repuestos,,,,needs_business_confirmation
23,76.9,VB449AC0FA,estufa-el-ctrica-port-til-hornilla-el-ctrica-doble-2000w,Estufa eléctrica portátil / hornilla eléctrica doble 2000W,Cocina y Electrohogar,Estufas y Hornillas,1060.0,10,1,322,https://vivabien.xyz/producto/estufa-el-ctrica-port-til-hornilla-el-ctrica-doble-2000w,,,,needs_business_confirmation
24,76.8,VB18F4F74F,crema-hidratante-vitamina-c-cido-hialur-nico-antiarrugas,Crema hidratante vitamina C / ácido hialurónico antiarrugas,Belleza y Salud,Cuidado de la Piel,160.0,10,1,320,https://vivabien.xyz/producto/crema-hidratante-vitamina-c-cido-hialur-nico-antiarrugas,,,,needs_business_confirmation
25,76.7,VB2660D45F,multitoma-doble-con-usb-y-type-c-para-interior-y-exterior-re,"Multitoma doble con USB y Type-C para interior y exterior, resistente",Tecnología,Cables y Cargadores,195.0,10,1,317,https://vivabien.xyz/producto/multitoma-doble-con-usb-y-type-c-para-interior-y-exterior-re,,,,needs_business_confirmation
26,76.7,VB835797C4,set-de-perfumes-y-cuidado-personal-dise-o-exclusivo-50ml-y-m,Set de perfumes y cuidado personal diseño exclusivo 50ml y más,Belleza y Salud,Perfumes y Fragancias,495.0,10,1,317,https://vivabien.xyz/producto/set-de-perfumes-y-cuidado-personal-dise-o-exclusivo-50ml-y-m,,,,needs_business_confirmation
27,76.6,VB163649FB,juego-de-cerradura-candado-puerta-bronce-3-llaves,Juego de cerradura / candado puerta bronce 3 llaves,Ferretería,Cerraduras y Seguridad,350.0,10,1,314,https://vivabien.xyz/producto/juego-de-cerradura-candado-puerta-bronce-3-llaves,,,,needs_business_confirmation
28,76.5,VB34345054,bocina-parlante-rgb-port-til-con-radio-am-fm-y-usb,Bocina / parlante RGB portátil con radio AM/FM y USB,Más categorías,Otros,880.0,10,1,313,https://vivabien.xyz/producto/bocina-parlante-rgb-port-til-con-radio-am-fm-y-usb,,,,needs_business_confirmation
29,76.5,VB3D686009,cerradura-pestillo-ansi-ajustable-puerta-35-50mm,Cerradura / pestillo ANSI ajustable puerta 35-50mm,Ferretería,Cerraduras y Seguridad,295.0,10,1,313,https://vivabien.xyz/producto/cerradura-pestillo-ansi-ajustable-puerta-35-50mm,,,,needs_business_confirmation
30,76.4,VB0AEC21DF,bocina-inal-mbrica-corneta-bluetooth-6-5-recargable-fm-usb-s,"Bocina inalámbrica / corneta Bluetooth 6.5"" recargable FM USB SD",Tecnología,Audio,820.0,10,1,311,https://vivabien.xyz/producto/bocina-inal-mbrica-corneta-bluetooth-6-5-recargable-fm-usb-s,,,,needs_business_confirmation
31,76.4,VB7FF4D3F4,parche-protector-pegatina-para-rozaduras-resistente,Parche protector / pegatina para rozaduras resistente,Belleza y Salud,Cuidado de la Piel,60.0,10,1,311,https://vivabien.xyz/producto/parche-protector-pegatina-para-rozaduras-resistente,,,,needs_business_confirmation
32,76.4,VBADEBDD1D,radio-port-til-am-fm-sw-con-usb-tf-mp3-y-linterna-recargable,Radio portátil AM/FM/SW con USB/TF/MP3 y linterna recargable,Tecnología,Audio,810.0,10,1,310,https://vivabien.xyz/producto/radio-port-til-am-fm-sw-con-usb-tf-mp3-y-linterna-recargable,,,,needs_business_confirmation
33,76.3,VB66E8D11A,spray-lubricante-afloja-todo-desoxidante-multiusos,Spray lubricante / afloja todo / desoxidante multiusos,Ferretería,Pintura,190.0,10,1,308,https://vivabien.xyz/producto/spray-lubricante-afloja-todo-desoxidante-multiusos,,,,needs_business_confirmation
34,76.2,VBA40DCCF7,adorno-colgante-madera-blanco-verde-con-lazo-1-unidad,Adorno colgante madera blanco/verde con lazo 1 unidad,Hogar,Adornos Decorativos,170.0,10,1,304,https://vivabien.xyz/producto/adorno-colgante-madera-blanco-verde-con-lazo-1-unidad,,,,needs_business_confirmation
35,76.2,VBA869E03C,cargador-r-pido-2-puertos-2-4a-usb-5v-100-240v,Cargador rápido 2 puertos 2.4A / USB 5V 100-240V,Tecnología,Cables y Cargadores,250.0,10,1,306,https://vivabien.xyz/producto/cargador-r-pido-2-puertos-2-4a-usb-5v-100-240v,,,,needs_business_confirmation
36,76.1,VB6C7904C8,spray-limpiador-abrillantador-250ml-para-todo-tipo-de-superf,Spray limpiador / abrillantador 250ml para todo tipo de superficies,Ferretería,Pintura,175.0,10,1,302,https://vivabien.xyz/producto/spray-limpiador-abrillantador-250ml-para-todo-tipo-de-superf,,,,needs_business_confirmation
37,76.0,VB97BA7C8F,aud-fonos-bluetooth-inal-mbricos-bt-45-v5-0-15m,Audífonos Bluetooth / inalámbricos BT-45 V5.0 15m,Tecnología,Audio,280.0,10,1,301,https://vivabien.xyz/producto/aud-fonos-bluetooth-inal-mbricos-bt-45-v5-0-15m,,,,needs_business_confirmation
38,76.0,VBDE90C57A,aud-fonos-inal-mbricos-bluetooth-negros-16h-oreja,Audífonos inalámbricos / Bluetooth negros 16h oreja,Tecnología,Audio,670.0,10,1,301,https://vivabien.xyz/producto/aud-fonos-inal-mbricos-bluetooth-negros-16h-oreja,,,,needs_business_confirmation
39,76.0,VBAB683120,aud-fonos-inal-mbricos-negros-hifi-est-reo-bluetooth-5-4,Audífonos inalámbricos negros HiFi estéreo Bluetooth 5.4,Tecnología,Audio,580.0,10,1,301,https://vivabien.xyz/producto/aud-fonos-inal-mbricos-negros-hifi-est-reo-bluetooth-5-4,,,,needs_business_confirmation
40,76.0,VBD9711868,crema-blanqueadora-con-vitaminas-c-y-e-para-rostro-y-cuerpo,Crema blanqueadora con vitaminas C y E para rostro y cuerpo,Belleza y Salud,Cuidado Facial,280.0,10,1,300,https://vivabien.xyz/producto/crema-blanqueadora-con-vitaminas-c-y-e-para-rostro-y-cuerpo,,,,needs_business_confirmation
41,76.0,VBA993A448,juego-de-brochas-de-maquillaje-profesional-4-piezas-rosadas,Juego de brochas de maquillaje profesional 4 piezas rosadas,Belleza y Salud,Maquillaje,175.0,10,1,299,https://vivabien.xyz/producto/juego-de-brochas-de-maquillaje-profesional-4-piezas-rosadas,,,,needs_business_confirmation
42,76.0,VB5B5C3E5D,kit-de-8-brochas-de-maquillaje-esponja-mango-rosa-y-dorado,"Kit de 8 brochas de maquillaje + esponja, mango rosa y dorado",Belleza y Salud,Maquillaje,130.0,10,1,301,https://vivabien.xyz/producto/kit-de-8-brochas-de-maquillaje-esponja-mango-rosa-y-dorado,,,,needs_business_confirmation
43,76.0,VB6305362B,set-de-perfumes-y-cuidado-personal-dise-o-exclusivo-20ml-50m,Set de Perfumes y Cuidado Personal Diseño Exclusivo 20ml + 50ml + Afte,Belleza y Salud,Perfumes y Fragancias,495.0,10,1,300,https://vivabien.xyz/producto/set-de-perfumes-y-cuidado-personal-dise-o-exclusivo-20ml-50m,,,,needs_business_confirmation
44,76.0,VB7617069F,set-de-perfumes-masculinos-ideal-para-regalo,Set de perfumes masculinos ideal para regalo,Belleza y Salud,Perfumes y Fragancias,495.0,10,1,301,https://vivabien.xyz/producto/set-de-perfumes-masculinos-ideal-para-regalo,,,,needs_business_confirmation
45,75.9,VB72DFD017,crema-hidratante-con-vitamina-c-cido-hialur-nico-blanqueador,Crema hidratante con Vitamina C / ácido hialurónico / blanqueadora,Belleza y Salud,Cuidado de la Piel,240.0,10,1,297,https://vivabien.xyz/producto/crema-hidratante-con-vitamina-c-cido-hialur-nico-blanqueador,,,,needs_business_confirmation
46,75.9,VBB3A2DEE0,manubrio-cerradura-de-puerta-inoxidable-f-cil-de-instalar,Manubrio / cerradura de puerta inoxidable fácil de instalar,Ferretería,Cerraduras y Seguridad,250.0,10,1,298,https://vivabien.xyz/producto/manubrio-cerradura-de-puerta-inoxidable-f-cil-de-instalar,,,,needs_business_confirmation
47,75.9,VB28BF5BF4,m-quina-de-desayuno-7-4l-cafetera-400ml-1050w-roja,Máquina de desayuno 7.4L / cafetera 400ml / 1050W roja,Cocina y Electrohogar,Pequeños Electrodomésticos,3255.0,10,1,298,https://vivabien.xyz/producto/m-quina-de-desayuno-7-4l-cafetera-400ml-1050w-roja,,,,needs_business_confirmation
48,75.9,VB25D7DBA3,ventilador-port-til-abanico-recargable-con-base-24h,Ventilador portátil / abanico recargable con base 24h,Cocina y Electrohogar,Organización de Cocina,735.0,10,1,297,https://vivabien.xyz/producto/ventilador-port-til-abanico-recargable-con-base-24h,,,,needs_business_confirmation
49,75.8,VBE8F3735F,cerradura-seguro-de-puerta-en-acero-inoxidable-ansi-35-50mm,Cerradura / seguro de puerta en acero inoxidable ANSI 35-50mm,Ferretería,Cerraduras y Seguridad,470.0,10,1,294,https://vivabien.xyz/producto/cerradura-seguro-de-puerta-en-acero-inoxidable-ansi-35-50mm,,,,needs_business_confirmation
50,75.8,VB85432837,espuma-limpiadora-desengrasante-con-cepillo-aroma-lim-n,Espuma limpiadora / desengrasante con cepillo aroma limón,Ferretería,Otros de Ferretería,160.0,10,1,296,https://vivabien.xyz/producto/espuma-limpiadora-desengrasante-con-cepillo-aroma-lim-n,,,,needs_business_confirmation
51,75.8,VBAC725926,kit-de-herramientas-de-belleza-rosado-varios-tama-os-estuche,"Kit de herramientas de belleza rosado, varios tamaños, estuche plástic",Belleza y Salud,Accesorios de Belleza,220.0,10,1,294,https://vivabien.xyz/producto/kit-de-herramientas-de-belleza-rosado-varios-tama-os-estuche,,,,needs_business_confirmation
52,75.8,VBF8F31FA2,lima-el-ctrica-removedor-de-callos-recargable-waterproof,Lima eléctrica / removedor de callos recargable waterproof,Belleza y Salud,Cuidado de Pies,245.0,10,1,296,https://vivabien.xyz/producto/lima-el-ctrica-removedor-de-callos-recargable-waterproof,,,,needs_business_confirmation
53,75.8,VB01127056,m-quina-para-waffles-waflera-1000w-antiadherente-3-a-os,Máquina para waffles / waflera 1000W antiadherente 3 años,Cocina y Electrohogar,Pequeños Electrodomésticos,1330.0,10,1,294,https://vivabien.xyz/producto/m-quina-para-waffles-waflera-1000w-antiadherente-3-a-os,,,,needs_business_confirmation
54,75.7,VB85F6886F,crema-blanqueadora-aclarante-con-vitamina-c-3-d-as,Crema blanqueadora / aclarante con Vitamina C 3 días,Belleza y Salud,Cuidado Facial,165.0,10,1,292,https://vivabien.xyz/producto/crema-blanqueadora-aclarante-con-vitamina-c-3-d-as,,,,needs_business_confirmation
55,75.7,VB427C0990,limpiador-facial-jab-n-de-cara-vitamina-c-hidratante-antiacn,Limpiador facial / jabón de cara Vitamina C hidratante antiacné,Belleza y Salud,Cuidado Facial,160.0,10,1,292,https://vivabien.xyz/producto/limpiador-facial-jab-n-de-cara-vitamina-c-hidratante-antiacn,,,,needs_business_confirmation
56,75.7,VB3B90DC53,radio-solar-bluetooth-usb-fm-am-sw-con-luz-led,Radio solar / Bluetooth / USB / FM/AM/SW con luz LED,Tecnología,Audio,850.0,10,1,293,https://vivabien.xyz/producto/radio-solar-bluetooth-usb-fm-am-sw-con-luz-led,,,,needs_business_confirmation
57,75.7,VBEE801A6A,tubo-de-gas-manguera-de-gas-naranja-resistente-con-abrazader,Tubo de gas / manguera de gas naranja resistente con abrazaderas,Ferretería,Plomería y Grifería,165.0,10,1,292,https://vivabien.xyz/producto/tubo-de-gas-manguera-de-gas-naranja-resistente-con-abrazader,,,,needs_business_confirmation
58,75.6,VB1DA1A31B,bloqueador-solar-protector-solar-spf75-150ml-coco-y-girasol,Bloqueador solar / protector solar SPF75 150ml coco y girasol,Belleza y Salud,Cuidado Facial,195.0,10,1,289,https://vivabien.xyz/producto/bloqueador-solar-protector-solar-spf75-150ml-coco-y-girasol,,,,needs_business_confirmation
59,75.6,VBEE64128D,bocina-inal-mbrica-3-fm-usb-micro-sd-recargable,"Bocina inalámbrica 3"" FM USB Micro SD recargable",Tecnología,Audio,340.0,10,1,291,https://vivabien.xyz/producto/bocina-inal-mbrica-3-fm-usb-micro-sd-recargable,,,,needs_business_confirmation
60,75.6,VB94807C91,botellitas-viaje-envases-port-tiles-tapa-azul-transparentes,Botellitas viaje / envases portátiles tapa azul transparentes,Belleza y Salud,Accesorios de Belleza,140.0,10,1,289,https://vivabien.xyz/producto/botellitas-viaje-envases-port-tiles-tapa-azul-transparentes,,,,needs_business_confirmation
61,75.6,VB59CBB6CD,jab-n-de-rosa-mosqueta-jab-n-corporal-11oz-para-piel-da-ada,Jabón de rosa mosqueta / jabón corporal 11oz para piel dañada,Belleza y Salud,Higiene Personal,115.0,10,1,290,https://vivabien.xyz/producto/jab-n-de-rosa-mosqueta-jab-n-corporal-11oz-para-piel-da-ada,,,,needs_business_confirmation
62,75.6,VB7F6DBF58,regleta-extensi-n-el-ctrica-6-tomas-con-switch-y-protecci-n,Regleta / extensión eléctrica 6 tomas con switch y protección,Tecnología,Energía y Protección,250.0,10,1,290,https://vivabien.xyz/producto/regleta-extensi-n-el-ctrica-6-tomas-con-switch-y-protecci-n,,,,needs_business_confirmation
63,75.6,VB1FD8970B,removedor-de-callos-el-ctrico-lima-el-ctrica-recargable,Removedor de callos eléctrico / lima eléctrica recargable,Belleza y Salud,Cuidado de Pies,285.0,10,1,290,https://vivabien.xyz/producto/removedor-de-callos-el-ctrico-lima-el-ctrica-recargable,,,,needs_business_confirmation
64,75.6,VBB725AC5C,set-de-cuidado-facial-vitamina-c-cido-hialur-nico,Set de Cuidado Facial Vitamina C / Ácido Hialurónico,Belleza y Salud,Cuidado Facial,865.0,10,1,290,https://vivabien.xyz/producto/set-de-cuidado-facial-vitamina-c-cido-hialur-nico,,,,needs_business_confirmation
65,75.6,VBC5977BD6,set-de-fragancia-rosa-crema-spray-perfume-y-gel-elegante-dis,"Set de fragancia rosa: crema, spray, perfume y gel, elegante diseño",Belleza y Salud,Perfumes y Fragancias,495.0,10,1,291,https://vivabien.xyz/producto/set-de-fragancia-rosa-crema-spray-perfume-y-gel-elegante-dis,,,,needs_business_confirmation
66,75.6,VB774FFC7B,s-rum-blanqueador-vitamina-c-cido-hialur-nico-antiarrugas,Sérum blanqueador / vitamina C / ácido hialurónico antiarrugas,Belleza y Salud,Cuidado Facial,230.0,10,1,290,https://vivabien.xyz/producto/s-rum-blanqueador-vitamina-c-cido-hialur-nico-antiarrugas,,,,needs_business_confirmation
67,75.6,VB93C9EE21,tel-fono-fijo-residencial-con-alarma-y-pantalla,Teléfono fijo / residencial con alarma y pantalla,Tecnología,Otros de Tecnología,750.0,10,1,289,https://vivabien.xyz/producto/tel-fono-fijo-residencial-con-alarma-y-pantalla,,,,needs_business_confirmation
68,75.6,VBC0FB9B7A,traba-de-seguridad-ajustable-para-puertas-cerraduras-dorada,Traba de seguridad ajustable para puertas / cerraduras dorada,Ferretería,Cerraduras y Seguridad,840.0,10,1,289,https://vivabien.xyz/producto/traba-de-seguridad-ajustable-para-puertas-cerraduras-dorada,,,,needs_business_confirmation
69,75.5,VBDF9ABF96,aro-de-luz-rgb-con-soporte-anillo-led-multicolor,Aro de luz RGB con soporte / anillo LED multicolor,Tecnología,Iluminación,1645.0,10,1,288,https://vivabien.xyz/producto/aro-de-luz-rgb-con-soporte-anillo-led-multicolor,,,,needs_business_confirmation
70,75.5,VBF2E0FF94,aud-fonos-inal-mbricos-bluetooth-30h-sonido-puro,Audífonos inalámbricos / Bluetooth 30h sonido puro,Tecnología,Audio,980.0,10,1,288,https://vivabien.xyz/producto/aud-fonos-inal-mbricos-bluetooth-30h-sonido-puro,,,,needs_business_confirmation
71,75.5,VB887C2FDF,kit-de-belleza-port-til-tijeras-rosadas-corta-as-brochas,Kit de belleza portátil: tijeras rosadas / cortaúñas / brochas,Belleza y Salud,Uñas,85.0,10,1,287,https://vivabien.xyz/producto/kit-de-belleza-port-til-tijeras-rosadas-corta-as-brochas,,,,needs_business_confirmation
72,75.5,VBA7D7853C,llave-de-fregadero-grifo-cocina-360-giratoria-fr-a-y-calient,Llave de fregadero / grifo cocina 360° giratoria fría y caliente,Ferretería,Plomería y Grifería,1295.0,10,1,288,https://vivabien.xyz/producto/llave-de-fregadero-grifo-cocina-360-giratoria-fr-a-y-calient,,,,needs_business_confirmation
73,75.4,VB29BF5952,adaptador-de-enchufe-triple-beige-para-conectar-m-ltiples-di,Adaptador de enchufe triple beige para conectar múltiples dispositivos,Ferretería,Electricidad,1.15,10,1,286,https://vivabien.xyz/producto/adaptador-de-enchufe-triple-beige-para-conectar-m-ltiples-di,,,,needs_business_confirmation
74,75.4,VB702B3462,cortina-decorativa-guirnalda-de-madera-40cm-negro-y-dorado,Cortina decorativa / guirnalda de madera 40cm negro y dorado,Más categorías,Otros,230.0,10,1,285,https://vivabien.xyz/producto/cortina-decorativa-guirnalda-de-madera-40cm-negro-y-dorado,,,,needs_business_confirmation
75,75.4,VBAF6689DD,juego-de-destornilladores-desarmadores-con-caja-transparente,Juego de destornilladores / desarmadores con caja transparente,Ferretería,Herramientas Manuales,150.0,10,1,284,https://vivabien.xyz/producto/juego-de-destornilladores-desarmadores-con-caja-transparente,,,,needs_business_confirmation
76,75.4,VBBCCAAC39,llave-de-fregadero-grifo-de-cocina-360-giratoria-ahorradora,Llave de fregadero / grifo de cocina 360° giratoria ahorradora,Ferretería,Plomería y Grifería,595.0,10,1,285,https://vivabien.xyz/producto/llave-de-fregadero-grifo-de-cocina-360-giratoria-ahorradora,,,,needs_business_confirmation
77,75.4,VBE8142818,perfume-en-spray-80ml-con-tapa-met-lica-y-botella-azul-elega,Perfume en spray 80ml con tapa metálica y botella azul elegante,Belleza y Salud,Perfumes y Fragancias,160.0,10,1,284,https://vivabien.xyz/producto/perfume-en-spray-80ml-con-tapa-met-lica-y-botella-azul-elega,,,,needs_business_confirmation
78,75.4,VB9D3CDF05,picadora-de-carne-moledora-2500w-110v-cuchillas-acero,Picadora de carne / moledora 2500W 110V cuchillas acero,Cocina y Electrohogar,Utensilios de Cocina,2840.0,10,1,285,https://vivabien.xyz/producto/picadora-de-carne-moledora-2500w-110v-cuchillas-acero,,,,needs_business_confirmation
79,75.4,VB465A0118,protector-solar-bloqueador-spf-90-resistente-al-agua,Protector solar / bloqueador SPF 90+ resistente al agua,Belleza y Salud,Cuidado Facial,100.0,10,1,284,https://vivabien.xyz/producto/protector-solar-bloqueador-spf-90-resistente-al-agua,,,,needs_business_confirmation
80,75.4,VB520763B4,set-de-cuidado-facial-5-piezas-hidratante-y-iluminador,Set de Cuidado Facial 5 Piezas / Hidratante y Iluminador,Belleza y Salud,Cuidado Facial,865.0,10,1,285,https://vivabien.xyz/producto/set-de-cuidado-facial-5-piezas-hidratante-y-iluminador,,,,needs_business_confirmation
81,75.4,VB053B2454,set-de-perfume-y-crema-corporal-50ml-dise-o-elegante-oro-y-b,Set de Perfume y Crema Corporal 50ml Diseño Elegante Oro y Blanco,Belleza y Salud,Cuidado Corporal,290.0,10,1,286,https://vivabien.xyz/producto/set-de-perfume-y-crema-corporal-50ml-dise-o-elegante-oro-y-b,,,,needs_business_confirmation
82,75.4,VB121E945C,set-de-cuidado-personal-con-perfume-y-m-s-rojo-y-con-detalle,"Set de cuidado personal con perfume y más, rojo y con detalles dorados",Belleza y Salud,Perfumes y Fragancias,495.0,10,1,284,https://vivabien.xyz/producto/set-de-cuidado-personal-con-perfume-y-m-s-rojo-y-con-detalle,,,,needs_business_confirmation
83,75.4,VB03AA982C,set-de-fragancia-y-cuidado-personal-en-caja-rosada-por-solo-,Set de fragancia y cuidado personal en caja rosada por solo $4.95,Belleza y Salud,Perfumes y Fragancias,495.0,10,1,286,https://vivabien.xyz/producto/set-de-fragancia-y-cuidado-personal-en-caja-rosada-por-solo-,,,,needs_business_confirmation
84,75.4,VB30E77690,spray-impermeabilizante-r-pido-750ml-sellador-multiuso,Spray impermeabilizante rápido 750ml / sellador multiuso,Ferretería,Pintura,215.0,10,1,286,https://vivabien.xyz/producto/spray-impermeabilizante-r-pido-750ml-sellador-multiuso,,,,needs_business_confirmation
85,75.4,VB5ED944E8,switch-blanco-con-luces-indicadoras-y-3-interruptores-garant,"Switch blanco con luces indicadoras y 3 interruptores, garantía 25 año",Ferretería,Electricidad,1.75,10,1,285,https://vivabien.xyz/producto/switch-blanco-con-luces-indicadoras-y-3-interruptores-garant,,,,needs_business_confirmation
86,75.3,VBB9AD44E5,abanico-port-til-mini-ventilador-blanco-con-luz-y-3-velocida,Abanico portátil / mini ventilador blanco con luz y 3 velocidades,Cocina y Electrohogar,Organización de Cocina,475.0,10,1,282,https://vivabien.xyz/producto/abanico-port-til-mini-ventilador-blanco-con-luz-y-3-velocida,,,,needs_business_confirmation
87,75.3,VBB8EF11BC,cepillo-para-pesta-as-port-til-y-f-cil-de-usar,Cepillo para pestañas portátil y fácil de usar,Belleza y Salud,Pestañas y Cejas,80.0,10,1,282,https://vivabien.xyz/producto/cepillo-para-pesta-as-port-til-y-f-cil-de-usar,,,,needs_business_confirmation
88,75.3,VB0579EC36,silic-n-transparente-pega-rtv-100-impermeable-85g,Silicón transparente / pega RTV 100% impermeable 85g,Ferretería,Pegamentos y Selladores,110.0,10,1,283,https://vivabien.xyz/producto/silic-n-transparente-pega-rtv-100-impermeable-85g,,,,needs_business_confirmation
89,75.3,VBC2248D56,spray-pintura-en-lata-verde-r-pido-secado-alta-durabilidad,Spray / pintura en lata verde rápido secado alta durabilidad,Ferretería,Pintura,110.0,10,1,282,https://vivabien.xyz/producto/spray-pintura-en-lata-verde-r-pido-secado-alta-durabilidad,,,,needs_business_confirmation
90,75.2,VB39BC7A65,abanico-ventilador-usb-recargable-port-til-mini,Abanico / ventilador USB recargable portátil mini,Cocina y Electrohogar,Organización de Cocina,225.0,10,1,280,https://vivabien.xyz/producto/abanico-ventilador-usb-recargable-port-til-mini,,,,needs_business_confirmation
91,75.2,VB259C8BFA,aud-fonos-bluetooth-p9-pro-max-negros-alta-fidelidad-40mm,Audífonos Bluetooth P9 Pro Max negros alta fidelidad 40mm,Tecnología,Audio,385.0,10,1,281,https://vivabien.xyz/producto/aud-fonos-bluetooth-p9-pro-max-negros-alta-fidelidad-40mm,,,,needs_business_confirmation
