Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,nombre_zh,descripcion_zh,categoria,categoria_es,Canal,notas
llave-pl-stica-grifo-pl-stico-blanco-con-spray,Llave plástica / grifo plástico blanco con spray,"Llave plástica / grifo plástico blanco con spray

📦 Características:
• Blanco
• material plástico
• Con boquilla

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Baño y Sanitarios,浴室卫浴,TRUE,VB04D9BCB9,275.00,10,VB04D9BCB9.jpg,塑料水龙头,,浴室卫浴,Baño y Sanitarios,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 275，请在审核台确认
set-de-perfume-y-crema-corporal-50ml-dise-o-elegante-oro-y-b,Set de Perfume y Crema Corporal 50ml Diseño Elegante Oro y Blanco,"Set de Perfume y Crema Corporal 50ml Diseño Elegante Oro y Blanco

📦 Características:
• Incluye perfume y crema corporal
• 50ml y 1.7fl.oz
• diseño de empaque dorado y blanco

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB053B2454,290.00,10,VB053B2454.jpg,香水礼盒,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",
silic-n-transparente-pega-rtv-100-impermeable-85g,Silicón transparente / pega RTV 100% impermeable 85g,"Silicón transparente / pega RTV 100% impermeable 85g

📦 Características:
• RTV 100%
• Transparente
• Impermeable
• Protección contra rayos UV
• Uso interno y externo
• 85g

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB0579EC36,110.00,10,VB0579EC36.jpg,硅胶密封胶,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 110，请在审核台确认
b-scula-digital-de-cocina-pesa-electr-nica-blanca,Báscula digital de cocina / pesa electrónica blanca,"Báscula digital de cocina / pesa electrónica blanca

📦 Características:
• 1 unidad
• Pantalla electrónica
• Blanco

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Cocina y Hogar,厨房家居,TRUE,VB05AA5DFF,275.00,10,VB05AA5DFF.jpg,电子厨房秤,,厨房家居,Cocina y Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 275，请在审核台确认
silic-n-alta-temperatura-pega-resistente-750-f-85g,Silicón alta temperatura / pega resistente 750°F 85g,"Silicón alta temperatura / pega resistente 750°F 85g

📦 Características:
• Resistente a altas temperaturas 750°F
• Resistente al aceite, agua y congelamiento
• Para tapas de válvulas y colectores de admisión
• Peso neto 85g

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB05DAEB30,110.00,10,VB05DAEB30.jpg,高温密封胶,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 110，请在审核台确认
set-de-herramientas-manicura-pedicura-rosado-multifuncional,Set de herramientas manicura/pedicura rosado multifuncional,"Set de herramientas manicura/pedicura rosado multifuncional

📦 Características:
• Rosado
• multifuncional
• Herramienta para pies y uñas

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB063B36B1,150.00,10,VB063B36B1.jpg,美甲工具套装,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",
greca-cafetera-moka-met-lica-9-tazas,Greca / cafetera moka metálica 9 tazas,"Greca / cafetera moka metálica 9 tazas

📦 Características:
• 9 tazas
• material metálico

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Cocina y Hogar,厨房家居,TRUE,VB06660007,720.00,10,VB06660007.jpg,摩卡壶,,厨房家居,Cocina y Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 720，请在审核台确认
double-switch-socket-con-bloqueo-infantil-y-alta-potencia,Double switch socket con bloqueo infantil y alta potencia,"Double switch socket con bloqueo infantil y alta potencia

📦 Características:
• Bloqueo infantil
• Alta potencia
• Estructura de cableado

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB06B7D546,100.00,10,VB06B7D546.jpg,双开关插座,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 1，请在审核台确认
portal-mparas-de-cer-mica-tama-o-mediano-durable-y-elegante,Portalámparas de cerámica tamaño mediano durable y elegante,"Portalámparas de cerámica tamaño mediano durable y elegante

📦 Características:
• Material cerámico
• Tamaño mediano

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Decoración del Hogar,家居装饰,TRUE,VB06D65A58,30.00,10,VB06D65A58.jpg,陶瓷灯座,,家居装饰,Decoración del Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 30，请在审核台确认
parche-de-gel-verde-para-ojos-mascarilla-ocular-hidratante,Parche de gel verde para ojos / mascarilla ocular hidratante,"Parche de gel verde para ojos / mascarilla ocular hidratante

📦 Características:
• Verde
• Material de gel
• Cuidado de la piel

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB0806F2EB,35.00,10,VB0806F2EB.jpg,眼贴膜,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 35，请在审核台确认
tomacorriente-de-pared-con-doble-puerto-usb-y-tornillos-incl,Tomacorriente de pared con doble puerto USB y tornillos incluidos,"Tomacorriente de pared con doble puerto USB y tornillos incluidos

📦 Características:
• Doble puerto USB
• enchufe de pared
• Incluye instalación con tornillos

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB088CD87A,85.00,10,VB088CD87A.jpg,墙插带USB,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 85，请在审核台确认
spray-azul-pintura-en-spray-r-pido-secado-interior-exterior,Spray azul / pintura en spray rápido secado interior exterior,"Spray azul / pintura en spray rápido secado interior exterior

📦 Características:
• Azul
• Secado rápido
• multiuso
• Uso interior y exterior

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB08D6D186,110.00,10,VB08D6D186.jpg,喷漆,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 110，请在审核台确认
crema-facial-blanqueadora-hidratante-con-col-geno-y-vitamina,Crema facial blanqueadora / hidratante con colágeno y vitamina C,"Crema facial blanqueadora / hidratante con colágeno y vitamina C

📦 Características:
• Impermeable
• Blanqueamiento rápido
• Cuidado facial

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB08EE88B8,210.00,10,VB08EE88B8.jpg,牛奶胶原蛋白VC,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 210，请在审核台确认
limpiador-facial-jab-n-l-quido-vitamina-c-org-nico-antiacn,Limpiador facial / jabón líquido vitamina C orgánico antiacné,"Limpiador facial / jabón líquido vitamina C orgánico antiacné

📦 Características:
• limpieza profunda
• Control de grasa
• Anti acné
• Hidratante
• 100% orgánico

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB09006F6C,145.00,10,VB09006F6C.jpg,维C洁面乳,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 145，请在审核台确认
set-de-portarretratos-marcos-boda-1-set-blanco-y-rojo-coraz-,Set de portarretratos / marcos boda 1 set blanco y rojo corazón,"Set de portarretratos / marcos boda 1 set blanco y rojo corazón

📦 Características:
• un set
• Blanco
• Decoración de corazón rojo
• Tema de boda

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Decoración del Hogar,家居装饰,TRUE,VB091B7F0D,365.00,10,VB091B7F0D.jpg,婚礼相框套装,,家居装饰,Decoración del Hogar,"Shopify,Facebook Marketplace",⚠ 价格疑似识别有误（599.0），已自动修正为 RD$ 5990 | 价格由 AI 从图片识别：RD$ 5990，请在审核台确认
cable-usb-c-a-usb-c-3a-carga-r-pida,Cable USB-C a USB-C 3A carga rápida,"Cable USB-C a USB-C 3A carga rápida

📦 Características:
• USB-C to USB-C
• 3A
• Carga rápida

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,电子数码,TRUE,VB0945AF56,190.00,10,VB0945AF56.jpg,快充数据线,,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 190，请在审核台确认
switch-blanco-con-enchufe-para-pared-pr-ctico-y-f-cil-de-ins,"Switch blanco con enchufe para pared, práctico y fácil de instalar","Switch blanco con enchufe para pared, práctico y fácil de instalar

📦 Características:
• Blanco
• Con enchufe
• montaje en pared

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB098269F8,95.00,10,VB098269F8.jpg,墙面插座开关,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 95，请在审核台确认
disco-de-corrector-ushas-varios-tonos-cremoso-pa-cubrir-ojer,"Disco de corrector Ushas, varios tonos, cremoso, pa' cubrir ojeras","Disco de corrector Ushas, varios tonos, cremoso, pa' cubrir ojeras

📦 Características:
• varios tonos de color
• crema redonda
• empaque plástico

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB09EB56DE,195.00,10,VB09EB56DE.jpg,USHAS遮瑕盘,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace","品名由豆包识图生成 conf=0.80，卖点:['多色号', '圆形膏体', '塑料包装']"
cable-type-c-a-lightning-100cm-carga-r-pida-27w-reforzado,Cable Type-C a Lightning 100cm / Carga rápida 27W / Reforzado,"Cable Type-C a Lightning 100cm / Carga rápida 27W / Reforzado

📦 Características:
• 100cm
• 27W
• tejido metálico
• Carga rápida

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,电子数码,TRUE,VB0A06955D,235.00,10,VB0A06955D.jpg,Type-C转Lightning线,,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 235，请在审核台确认
varilla-roscada-tornillo-m12-x-120mm-galvanizado-c-arandela,Varilla roscada / tornillo M12 x 120mm galvanizado c/ arandela,"Varilla roscada / tornillo M12 x 120mm galvanizado c/ arandela

📦 Características:
• especificación M12
• 120mm longitud
• material galvanizado
• Incluye arandelas

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB0A277298,85.00,10,VB0A277298.jpg,螺纹杆套装,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 85，请在审核台确认
bocina-inal-mbrica-corneta-bluetooth-6-5-recargable-fm-usb-s,"Bocina inalámbrica / corneta Bluetooth 6.5"" recargable FM USB SD","Bocina inalámbrica / corneta Bluetooth 6.5"" recargable FM USB SD

📦 Características:
• 6.5 pulgadas
• Tecnología inalámbrica
• Batería recargable
• Función de radio FM
• Compatible con USB y Micro SD

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,电子数码,TRUE,VB0AEC21DF,820.00,10,VB0AEC21DF.jpg,无线音箱,,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 820，请在审核台确认 | 价格经二次OCR修正：820 → RD$ 280
mosquitero-tul-para-cama-2-unidades-56x56x75-pulgadas-100-po,Mosquitero / tul para cama 2 unidades 56x56x75 pulgadas 100% poliéster,"Mosquitero / tul para cama 2 unidades 56x56x75 pulgadas 100% poliéster

📦 Características:
• 2 unidades
• 56x56x75 pulgadas
• 100% poliéster

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Decoración del Hogar,家居装饰,TRUE,VB0B3CAAB9,560.00,10,VB0B3CAAB9.jpg,蚊帐,,家居装饰,Decoración del Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 50，请在审核台确认
limpiador-facial-gel-limpiador-sin-jab-n-100ml,Limpiador facial / gel limpiador sin jabón 100ml,"Limpiador facial / gel limpiador sin jabón 100ml

📦 Características:
• 100ml capacidad
• Fórmula sin jabón
• apto para piel perfecta

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB0B580C74,145.00,10,VB0B580C74.jpg,清爽洁面乳,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 145，请在审核台确认
